Unit: grams
Seconds, L6
0.000000,8.021727,
0.006667,7.130424,
0.013333,8.021727,
0.020000,8.913030,
0.026667,8.021727,
0.033333,8.913030,
0.040000,8.021727,
0.046667,8.913030,
0.053333,8.913030,
0.060000,8.913030,
0.066667,9.804333,
0.073333,8.913030,
0.080000,8.913030,
0.086667,8.913030,
0.093333,8.913030,
0.100000,9.804333,
0.106667,9.804333,
0.113333,8.913030,
0.120000,8.913030,
0.126667,10.695636,
0.133333,9.804333,
0.140000,8.913030,
0.146667,9.804333,
0.153333,9.804333,
0.160000,9.804333,
0.166667,9.804333,
0.173333,9.804333,
0.180000,8.913030,
0.186667,8.913030,
0.193333,8.913030,
0.200000,8.913030,
0.206667,8.913030,
0.213333,8.913030,
0.220000,8.913030,
0.226667,9.804333,
0.233333,9.804333,
0.240000,9.804333,
0.246667,9.804333,
0.253333,9.804333,
0.260000,8.913030,
0.266667,8.913030,
0.273333,8.913030,
0.280000,8.021727,
0.286667,8.021727,
0.293333,8.021727,
0.300000,8.021727,
0.306667,8.913030,
0.313333,8.021727,
0.320000,8.021727,
0.326667,8.021727,
0.333333,8.913030,
0.340000,8.913030,
0.346667,8.913030,
0.353333,8.913030,
0.360000,8.913030,
0.366667,8.021727,
0.373333,8.021727,
0.380000,8.021727,
0.386667,6.239121,
0.393333,7.130424,
0.400000,7.130424,
0.406667,7.130424,
0.413333,7.130424,
0.420000,7.130424,
0.426667,5.347818,
0.433333,6.239121,
0.440000,6.239121,
0.446667,6.239121,
0.453333,7.130424,
0.460000,6.239121,
0.466667,5.347818,
0.473333,6.239121,
0.480000,6.239121,
0.486667,5.347818,
0.493333,5.347818,
0.500000,5.347818,
0.506667,5.347818,
0.513333,4.456515,
0.520000,4.456515,
0.526667,5.347818,
0.533333,5.347818,
0.540000,5.347818,
0.546667,5.347818,
0.553333,4.456515,
0.560000,4.456515,
0.566667,3.565212,
0.573333,4.456515,
0.580000,4.456515,
0.586667,4.456515,
0.593333,4.456515,
0.600000,4.456515,
0.606667,5.347818,
0.613333,4.456515,
0.620000,5.347818,
0.626667,4.456515,
0.633333,5.347818,
0.640000,4.456515,
0.646667,5.347818,
0.653333,4.456515,
0.660000,3.565212,
0.666667,4.456515,
0.673333,4.456515,
0.680000,4.456515,
0.686667,3.565212,
0.693333,4.456515,
0.700000,3.565212,
0.706667,3.565212,
0.713333,3.565212,
0.720000,4.456515,
0.726667,3.565212,
0.733333,4.456515,
0.740000,2.673909,
0.746667,3.565212,
0.753333,3.565212,
0.760000,3.565212,
0.766667,2.673909,
0.773333,3.565212,
0.780000,2.673909,
0.786667,3.565212,
0.793333,3.565212,
0.800000,2.673909,
0.806667,2.673909,
0.813333,3.565212,
0.820000,3.565212,
0.826667,2.673909,
0.833333,3.565212,
0.840000,3.565212,
0.846667,3.565212,
0.853333,3.565212,
0.860000,3.565212,
0.866667,1.782606,
0.873333,1.782606,
0.880000,1.782606,
0.886667,1.782606,
0.893333,2.673909,
0.900000,1.782606,
0.906667,1.782606,
0.913333,1.782606,
0.920000,2.673909,
0.926667,1.782606,
0.933333,1.782606,
0.940000,1.782606,
0.946667,1.782606,
0.953333,1.782606,
0.960000,2.673909,
0.966667,2.673909,
0.973333,2.673909,
0.980000,2.673909,
0.986667,2.673909,
0.993333,3.565212,
1.000000,3.565212,
1.006667,3.565212,
1.013333,1.782606,
1.020000,1.782606,
1.026667,1.782606,
1.033333,3.565212,
1.040000,1.782606,
1.046667,2.673909,
1.053333,2.673909,
1.060000,1.782606,
1.066667,1.782606,
1.073333,1.782606,
1.080000,3.565212,
1.086667,2.673909,
1.093333,2.673909,
1.100000,1.782606,
1.106667,2.673909,
1.113333,2.673909,
1.120000,2.673909,
1.126667,1.782606,
1.133333,1.782606,
1.140000,3.565212,
1.146667,2.673909,
1.153333,1.782606,
1.160000,4.456515,
1.166667,2.673909,
1.173333,2.673909,
1.180000,1.782606,
1.186667,1.782606,
1.193333,1.782606,
1.200000,1.782606,
1.206667,1.782606,
1.213333,0.000000,
1.220000,0.891303,
1.226667,0.000000,
1.233333,0.891303,
1.240000,0.891303,
1.246667,0.891303,
1.253333,0.891303,
1.260000,0.891303,
1.266667,0.891303,
1.273333,1.782606,
1.280000,2.673909,
1.286667,0.891303,
1.293333,0.891303,
1.300000,0.891303,
1.306667,2.673909,
1.313333,0.891303,
1.320000,0.891303,
1.326667,1.782606,
1.333333,0.891303,
1.340000,1.782606,
1.346667,1.782606,
1.353333,0.000000,
1.360000,0.000000,
1.366667,0.000000,
1.373333,0.000000,
1.380000,0.000000,
1.386667,0.000000,
1.393333,0.000000,
1.400000,0.000000,
1.406667,0.000000,
1.413333,0.000000,
1.420000,0.000000,
1.426667,0.000000,
1.433333,0.000000,
1.440000,0.000000,
1.446667,0.000000,
1.453333,0.000000,
1.460000,0.000000,
1.466667,0.000000,
1.473333,0.000000,
1.480000,0.000000,
1.486667,0.000000,
1.493333,0.000000,
1.500000,0.000000,
1.506667,0.000000,
1.513333,0.000000,
1.520000,0.000000,
1.526667,0.000000,
1.533333,0.000000,
1.540000,0.000000,
1.546667,0.000000,
1.553333,0.000000,
1.560000,0.000000,
1.566667,0.000000,
1.573333,0.000000,
1.580000,0.000000,
1.586667,0.000000,
1.593333,0.000000,
1.600000,0.000000,
1.606667,0.000000,
1.613333,0.000000,
1.620000,0.000000,
1.626667,0.000000,
1.633333,0.000000,
1.640000,0.000000,
1.646667,0.000000,
1.653333,0.000000,
1.660000,0.000000,
1.666667,0.000000,
1.673333,0.000000,
1.680000,0.000000,
1.686667,0.000000,
1.693333,0.000000,
1.700000,0.000000,
1.706667,0.000000,
1.713333,0.000000,
1.720000,0.000000,
1.726667,0.000000,
1.733333,0.000000,
1.740000,0.000000,
1.746667,0.000000,
1.753333,0.000000,
1.760000,0.000000,
1.766667,0.000000,
1.773333,0.000000,
1.780000,0.000000,
1.786667,0.000000,
1.793333,0.000000,
1.800000,0.000000,
1.806667,0.000000,
1.813333,0.000000,
1.820000,0.000000,
1.826667,0.000000,
1.833333,0.000000,
1.840000,0.000000,
1.846667,0.000000,
1.853333,0.000000,
1.860000,0.000000,
1.866667,0.000000,
1.873333,0.000000,
1.880000,0.000000,
1.886667,0.000000,
1.893333,0.000000,
1.900000,0.000000,
1.906667,0.000000,
1.913333,0.000000,
1.920000,0.000000,
1.926667,0.000000,
1.933333,0.000000,
1.940000,0.000000,
1.946667,0.000000,
1.953333,0.000000,
1.960000,0.000000,
1.966667,0.000000,
1.973333,0.000000,
1.980000,0.000000,
1.986667,0.000000,
1.993333,0.000000,
2.000000,0.000000,
2.006667,0.000000,
2.013333,0.000000,
2.020000,0.000000,
2.026667,0.000000,
2.033333,0.000000,
2.040000,0.000000,
2.046667,0.000000,
2.053333,0.000000,
2.060000,0.000000,
2.066667,0.000000,
2.073333,0.000000,
2.080000,0.000000,
2.086667,0.000000,
2.093333,0.000000,
2.100000,0.000000,
2.106667,0.000000,
2.113333,0.000000,
2.120000,0.000000,
2.126667,0.000000,
2.133333,0.000000,
2.140000,0.000000,
2.146667,0.000000,
2.153333,0.000000,
2.160000,0.000000,
2.166667,0.000000,
2.173333,0.000000,
2.180000,0.000000,
2.186667,0.000000,
2.193333,0.000000,
2.200000,0.000000,
2.206667,0.000000,
2.213333,0.000000,
2.220000,0.000000,
2.226667,0.000000,
2.233333,0.000000,
2.240000,0.000000,
2.246667,0.000000,
2.253333,0.000000,
2.260000,0.000000,
2.266667,0.000000,
2.273333,0.000000,
2.280000,0.000000,
2.286667,0.000000,
2.293333,0.000000,
2.300000,0.000000,
2.306667,0.000000,
2.313333,0.000000,
2.320000,0.000000,
2.326667,0.000000,
2.333333,0.000000,
2.340000,0.000000,
2.346667,0.000000,
2.353333,0.000000,
2.360000,0.000000,
2.366667,0.000000,
2.373333,0.000000,
2.380000,0.000000,
2.386667,0.000000,
2.393333,0.000000,
2.400000,0.000000,
2.406667,0.000000,
2.413333,0.000000,
2.420000,0.000000,
2.426667,0.000000,
2.433333,0.000000,
2.440000,0.000000,
2.446667,0.000000,
2.453333,0.000000,
2.460000,0.000000,
2.466667,0.000000,
2.473333,0.000000,
2.480000,0.000000,
2.486667,0.000000,
2.493333,0.000000,
2.500000,0.000000,
2.506667,0.000000,
2.513333,0.000000,
2.520000,0.000000,
2.526667,0.000000,
2.533333,0.000000,
2.540000,0.000000,
2.546667,0.000000,
2.553333,0.000000,
2.560000,0.000000,
2.566667,0.000000,
2.573333,0.000000,
2.580000,0.000000,
2.586667,0.000000,
2.593333,0.000000,
2.600000,0.000000,
2.606667,0.000000,
2.613333,0.000000,
2.620000,0.000000,
2.626667,0.000000,
2.633333,0.000000,
2.640000,0.000000,
2.646667,0.000000,
2.653333,0.000000,
2.660000,0.000000,
2.666667,0.000000,
2.673333,0.000000,
2.680000,0.000000,
2.686667,0.000000,
2.693333,0.000000,
2.700000,0.000000,
2.706667,0.000000,
2.713333,0.000000,
2.720000,0.000000,
2.726667,0.000000,
2.733333,0.000000,
2.740000,0.000000,
2.746667,0.000000,
2.753333,0.000000,
2.760000,0.000000,
2.766667,0.000000,
2.773333,0.000000,
2.780000,0.000000,
2.786667,0.000000,
2.793333,0.000000,
2.800000,0.000000,
2.806667,0.000000,
2.813333,0.000000,
2.820000,0.000000,
2.826667,0.000000,
2.833333,0.000000,
2.840000,0.000000,
2.846667,0.000000,
2.853333,0.000000,
2.860000,0.000000,
2.866667,0.000000,
2.873333,0.000000,
2.880000,0.000000,
2.886667,0.000000,
2.893333,0.000000,
2.900000,0.891303,
2.906667,0.000000,
2.913333,0.000000,
2.920000,0.000000,
2.926667,0.000000,
2.933333,0.000000,
2.940000,0.000000,
2.946667,0.000000,
2.953333,0.000000,
2.960000,0.000000,
2.966667,0.000000,
2.973333,0.000000,
2.980000,0.000000,
2.986667,0.000000,
2.993333,0.000000,
3.000000,0.891303,
3.006667,0.891303,
3.013333,0.891303,
3.020000,0.000000,
3.026667,0.000000,
3.033333,0.000000,
3.040000,0.000000,
3.046667,0.000000,
3.053333,0.000000,
3.060000,0.000000,
3.066667,0.000000,
3.073333,0.000000,
3.080000,0.000000,
3.086667,0.000000,
3.093333,0.891303,
3.100000,0.000000,
3.106667,0.000000,
3.113333,0.000000,
3.120000,0.000000,
3.126667,0.000000,
3.133333,0.000000,
3.140000,0.000000,
3.146667,0.000000,
3.153333,0.000000,
3.160000,0.000000,
3.166667,0.000000,
3.173333,0.000000,
3.180000,0.000000,
3.186667,0.000000,
3.193333,0.000000,
3.200000,0.000000,
3.206667,0.000000,
3.213333,0.000000,
3.220000,0.000000,
3.226667,0.000000,
3.233333,0.000000,
3.240000,0.000000,
3.246667,0.000000,
3.253333,0.000000,
3.260000,0.000000,
3.266667,0.000000,
3.273333,0.000000,
3.280000,0.000000,
3.286667,0.000000,
3.293333,0.000000,
3.300000,0.000000,
3.306667,0.000000,
3.313333,0.000000,
3.320000,0.000000,
3.326667,0.000000,
3.333333,0.000000,
3.340000,0.000000,
3.346667,0.000000,
3.353333,0.000000,
3.360000,0.000000,
3.366667,0.000000,
3.373333,0.000000,
3.380000,0.000000,
3.386667,0.000000,
3.393333,0.000000,
3.400000,0.000000,
3.406667,0.000000,
3.413333,0.000000,
3.420000,0.000000,
