
Seconds, L3
0.000000,0.000000,
0.006667,0.000000,
0.013333,0.000000,
0.020000,0.000000,
0.026667,0.000000,
0.033333,0.000000,
0.040000,0.000000,
0.046667,2.980140,
0.053333,3.973520,
0.060000,4.966900,
0.066667,8.940420,
0.073333,5.960280,
0.080000,8.940420,
0.086667,7.947040,
0.093333,9.933800,
0.100000,9.933800,
0.106667,9.933800,
0.113333,11.920560,
0.120000,8.940420,
0.126667,12.913940,
0.133333,12.913940,
0.140000,12.913940,
0.146667,13.907320,
0.153333,13.907320,
0.160000,14.900700,
0.166667,15.894080,
0.173333,16.887460,
0.180000,16.887460,
0.186667,17.880840,
0.193333,17.880840,
0.200000,16.887460,
0.206667,17.880840,
0.213333,18.874220,
0.220000,17.880840,
0.226667,17.880840,
0.233333,16.887460,
0.240000,17.880840,
0.246667,18.874220,
0.253333,16.887460,
0.260000,17.880840,
0.266667,17.880840,
0.273333,19.867600,
0.280000,20.860980,
0.286667,19.867600,
0.293333,19.867600,
0.300000,18.874220,
0.306667,17.880840,
0.313333,19.867600,
0.320000,18.874220,
0.326667,19.867600,
0.333333,18.874220,
0.340000,19.867600,
0.346667,20.860980,
0.353333,20.860980,
0.360000,19.867600,
0.366667,19.867600,
0.373333,21.854360,
0.380000,22.847740,
0.386667,20.860980,
0.393333,20.860980,
0.400000,19.867600,
0.406667,19.867600,
0.413333,21.854360,
0.420000,20.860980,
0.426667,20.860980,
0.433333,20.860980,
0.440000,19.867600,
0.446667,21.854360,
0.453333,19.867600,
0.460000,20.860980,
0.466667,20.860980,
0.473333,19.867600,
0.480000,19.867600,
0.486667,19.867600,
0.493333,19.867600,
0.500000,19.867600,
0.506667,19.867600,
0.513333,20.860980,
0.520000,18.874220,
0.526667,19.867600,
0.533333,19.867600,
0.540000,19.867600,
0.546667,20.860980,
0.553333,19.867600,
0.560000,18.874220,
0.566667,16.887460,
0.573333,16.887460,
0.580000,16.887460,
0.586667,15.894080,
0.593333,15.894080,
0.600000,14.900700,
0.606667,17.880840,
0.613333,16.887460,
0.620000,16.887460,
0.626667,15.894080,
0.633333,13.907320,
0.640000,13.907320,
0.646667,13.907320,
0.653333,11.920560,
0.660000,9.933800,
0.666667,8.940420,
0.673333,9.933800,
0.680000,11.920560,
0.686667,11.920560,
0.693333,12.913940,
0.700000,11.920560,
0.706667,9.933800,
0.713333,10.927180,
0.720000,10.927180,
0.726667,7.947040,
0.733333,3.973520,
0.740000,7.947040,
0.746667,8.940420,
0.753333,7.947040,
0.760000,10.927180,
0.766667,9.933800,
0.773333,10.927180,
0.780000,11.920560,
0.786667,7.947040,
0.793333,9.933800,
0.800000,6.953660,
0.806667,7.947040,
0.813333,8.940420,
0.820000,7.947040,
0.826667,8.940420,
0.833333,10.927180,
0.840000,10.927180,
0.846667,10.927180,
0.853333,8.940420,
0.860000,9.933800,
0.866667,3.973520,
0.873333,6.953660,
0.880000,7.947040,
0.886667,1.986760,
0.893333,5.960280,
0.900000,5.960280,
0.906667,3.973520,
0.913333,5.960280,
0.920000,5.960280,
0.926667,4.966900,
0.933333,4.966900,
0.940000,5.960280,
0.946667,7.947040,
0.953333,4.966900,
0.960000,5.960280,
0.966667,6.953660,
0.973333,6.953660,
0.980000,7.947040,
0.986667,5.960280,
0.993333,7.947040,
1.000000,6.953660,
1.006667,6.953660,
1.013333,6.953660,
1.020000,4.966900,
1.026667,4.966900,
1.033333,4.966900,
1.040000,7.947040,
1.046667,5.960280,
1.053333,4.966900,
1.060000,7.947040,
1.066667,6.953660,
1.073333,6.953660,
1.080000,8.940420,
1.086667,8.940420,
1.093333,7.947040,
1.100000,8.940420,
1.106667,9.933800,
1.113333,7.947040,
1.120000,5.960280,
1.126667,6.953660,
1.133333,5.960280,
1.140000,3.973520,
1.146667,3.973520,
1.153333,1.986760,
1.160000,3.973520,
1.166667,2.980140,
1.173333,3.973520,
1.180000,3.973520,
1.186667,1.986760,
1.193333,5.960280,
1.200000,4.966900,
1.206667,5.960280,
1.213333,4.966900,
1.220000,4.966900,
1.226667,6.953660,
1.233333,5.960280,
1.240000,5.960280,
1.246667,6.953660,
1.253333,5.960280,
1.260000,6.953660,
1.266667,5.960280,
1.273333,4.966900,
1.280000,4.966900,
1.286667,4.966900,
1.293333,4.966900,
1.300000,3.973520,
1.306667,4.966900,
1.313333,6.953660,
1.320000,3.973520,
