
Seconds, L3
0.000000,5.960280,
0.006667,2.980140,
0.013333,7.947040,
0.020000,3.973520,
0.026667,4.966900,
0.033333,5.960280,
0.040000,5.960280,
0.046667,7.947040,
0.053333,6.953660,
0.060000,5.960280,
0.066667,7.947040,
0.073333,5.960280,
0.080000,5.960280,
0.086667,6.953660,
0.093333,8.940420,
0.100000,9.933800,
0.106667,8.940420,
0.113333,9.933800,
0.120000,8.940420,
0.126667,8.940420,
0.133333,9.933800,
0.140000,6.953660,
0.146667,8.940420,
0.153333,8.940420,
0.160000,8.940420,
0.166667,9.933800,
0.173333,6.953660,
0.180000,7.947040,
0.186667,7.947040,
0.193333,7.947040,
0.200000,9.933800,
0.206667,7.947040,
0.213333,9.933800,
0.220000,8.940420,
0.226667,8.940420,
0.233333,11.920560,
0.240000,7.947040,
0.246667,10.927180,
0.253333,9.933800,
0.260000,9.933800,
0.266667,11.920560,
0.273333,8.940420,
0.280000,9.933800,
0.286667,9.933800,
0.293333,9.933800,
0.300000,12.913940,
0.306667,9.933800,
0.313333,10.927180,
0.320000,9.933800,
0.326667,9.933800,
0.333333,10.927180,
0.340000,8.940420,
0.346667,9.933800,
0.353333,9.933800,
0.360000,8.940420,
0.366667,8.940420,
0.373333,5.960280,
0.380000,8.940420,
0.386667,5.960280,
0.393333,5.960280,
0.400000,8.940420,
0.406667,4.966900,
0.413333,7.947040,
0.420000,6.953660,
0.426667,5.960280,
0.433333,8.940420,
0.440000,5.960280,
0.446667,6.953660,
0.453333,5.960280,
0.460000,4.966900,
0.466667,15.894080,
0.473333,3.973520,
0.480000,6.953660,
0.486667,5.960280,
0.493333,4.966900,
0.500000,4.966900,
0.506667,3.973520,
0.513333,6.953660,
0.520000,5.960280,
0.526667,5.960280,
0.533333,6.953660,
0.540000,5.960280,
0.546667,6.953660,
0.553333,7.947040,
0.560000,5.960280,
0.566667,6.953660,
0.573333,3.973520,
0.580000,4.966900,
0.586667,3.973520,
0.593333,5.960280,
0.600000,4.966900,
0.606667,1.986760,
0.613333,4.966900,
0.620000,4.966900,
0.626667,5.960280,
0.633333,2.980140,
0.640000,3.973520,
0.646667,3.973520,
0.653333,4.966900,
0.660000,3.973520,
0.666667,6.953660,
0.673333,2.980140,
0.680000,5.960280,
0.686667,3.973520,
0.693333,4.966900,
0.700000,3.973520,
0.706667,2.980140,
0.713333,5.960280,
0.720000,4.966900,
0.726667,4.966900,
0.733333,5.960280,
0.740000,3.973520,
0.746667,4.966900,
0.753333,3.973520,
0.760000,3.973520,
0.766667,4.966900,
0.773333,2.980140,
0.780000,3.973520,
0.786667,3.973520,
0.793333,3.973520,
0.800000,4.966900,
0.806667,3.973520,
0.813333,4.966900,
0.820000,3.973520,
0.826667,3.973520,
0.833333,3.973520,
0.840000,1.986760,
0.846667,3.973520,
0.853333,3.973520,
0.860000,3.973520,
0.866667,4.966900,
0.873333,2.980140,
0.880000,3.973520,
0.886667,3.973520,
0.893333,4.966900,
0.900000,3.973520,
0.906667,2.980140,
0.913333,3.973520,
