
Seconds, L3
0.000000,2.980140,
0.006667,2.980140,
0.013333,3.973520,
0.020000,4.966900,
0.026667,5.960280,
0.033333,2.980140,
0.040000,4.966900,
0.046667,3.973520,
0.053333,4.966900,
0.060000,6.953660,
0.066667,7.947040,
0.073333,9.933800,
0.080000,9.933800,
0.086667,6.953660,
0.093333,9.933800,
0.100000,5.960280,
0.106667,5.960280,
0.113333,6.953660,
0.120000,6.953660,
0.126667,7.947040,
0.133333,4.966900,
0.140000,5.960280,
0.146667,5.960280,
0.153333,6.953660,
0.160000,7.947040,
0.166667,7.947040,
0.173333,8.940420,
0.180000,10.927180,
0.186667,10.927180,
0.193333,9.933800,
0.200000,8.940420,
0.206667,9.933800,
0.213333,10.927180,
0.220000,9.933800,
0.226667,10.927180,
0.233333,10.927180,
0.240000,11.920560,
0.246667,11.920560,
0.253333,12.913940,
0.260000,11.920560,
0.266667,10.927180,
0.273333,10.927180,
0.280000,11.920560,
0.286667,11.920560,
0.293333,11.920560,
0.300000,11.920560,
0.306667,13.907320,
0.313333,10.927180,
0.320000,12.913940,
0.326667,12.913940,
0.333333,12.913940,
0.340000,12.913940,
0.346667,12.913940,
0.353333,10.927180,
0.360000,9.933800,
0.366667,9.933800,
0.373333,10.927180,
0.380000,10.927180,
0.386667,10.927180,
0.393333,11.920560,
0.400000,11.920560,
0.406667,11.920560,
0.413333,10.927180,
0.420000,9.933800,
0.426667,10.927180,
0.433333,7.947040,
0.440000,9.933800,
0.446667,9.933800,
0.453333,9.933800,
0.460000,8.940420,
0.466667,7.947040,
0.473333,9.933800,
0.480000,9.933800,
0.486667,10.927180,
0.493333,9.933800,
0.500000,9.933800,
0.506667,9.933800,
0.513333,7.947040,
0.520000,7.947040,
0.526667,8.940420,
0.533333,7.947040,
0.540000,9.933800,
0.546667,8.940420,
0.553333,8.940420,
0.560000,8.940420,
0.566667,7.947040,
0.573333,9.933800,
0.580000,9.933800,
0.586667,10.927180,
0.593333,9.933800,
0.600000,9.933800,
0.606667,10.927180,
0.613333,9.933800,
0.620000,9.933800,
0.626667,9.933800,
0.633333,8.940420,
0.640000,10.927180,
0.646667,8.940420,
0.653333,8.940420,
0.660000,8.940420,
0.666667,9.933800,
0.673333,10.927180,
0.680000,8.940420,
0.686667,9.933800,
0.693333,9.933800,
0.700000,8.940420,
0.706667,10.927180,
0.713333,9.933800,
0.720000,10.927180,
0.726667,9.933800,
0.733333,9.933800,
0.740000,10.927180,
0.746667,10.927180,
0.753333,9.933800,
0.760000,9.933800,
