
Seconds, L4
0.000000,3.314442,
0.006667,3.314442,
0.013333,6.628883,
0.020000,7.457494,
0.026667,5.800273,
0.033333,6.628883,
0.040000,6.628883,
0.046667,8.286104,
0.053333,8.286104,
0.060000,8.286104,
0.066667,10.771936,
0.073333,9.114715,
0.080000,11.600546,
0.086667,9.943325,
0.093333,7.457494,
0.100000,9.114715,
0.106667,6.628883,
0.113333,8.286104,
0.120000,9.114715,
0.126667,5.800273,
0.133333,8.286104,
0.140000,9.943325,
0.146667,11.600546,
0.153333,13.257767,
0.160000,12.429156,
0.166667,10.771936,
0.173333,9.114715,
0.180000,8.286104,
0.186667,8.286104,
0.193333,9.114715,
0.200000,9.114715,
0.206667,9.114715,
0.213333,8.286104,
0.220000,7.457494,
0.226667,7.457494,
0.233333,7.457494,
0.240000,8.286104,
0.246667,9.943325,
0.253333,9.114715,
0.260000,9.943325,
0.266667,10.771936,
0.273333,9.943325,
0.280000,10.771936,
0.286667,10.771936,
0.293333,9.114715,
0.300000,10.771936,
0.306667,9.114715,
0.313333,9.943325,
0.320000,9.943325,
0.326667,9.114715,
0.333333,10.771936,
0.340000,9.114715,
0.346667,10.771936,
0.353333,9.943325,
0.360000,10.771936,
0.366667,9.943325,
0.373333,9.943325,
0.380000,9.943325,
0.386667,9.943325,
0.393333,9.943325,
0.400000,8.286104,
0.406667,8.286104,
0.413333,8.286104,
0.420000,6.628883,
0.426667,7.457494,
0.433333,7.457494,
0.440000,5.800273,
0.446667,6.628883,
0.453333,5.800273,
0.460000,4.971663,
0.466667,7.457494,
0.473333,5.800273,
0.480000,5.800273,
0.486667,5.800273,
0.493333,3.314442,
0.500000,4.143052,
0.506667,3.314442,
0.513333,3.314442,
0.520000,3.314442,
0.526667,2.485831,
0.533333,3.314442,
0.540000,1.657221,
0.546667,3.314442,
0.553333,1.657221,
0.560000,0.828610,
0.566667,2.485831,
0.573333,1.657221,
0.580000,1.657221,
0.586667,0.828610,
0.593333,2.485831,
0.600000,1.657221,
0.606667,1.657221,
0.613333,0.828610,
0.620000,0.828610,
0.626667,1.657221,
0.633333,1.657221,
0.640000,0.000000,
0.646667,0.828610,
0.653333,1.657221,
0.660000,0.000000,
0.666667,3.314442,
0.673333,0.828610,
0.680000,1.657221,
0.686667,0.828610,
0.693333,1.657221,
0.700000,3.314442,
0.706667,2.485831,
0.713333,1.657221,
0.720000,2.485831,
0.726667,4.971663,
0.733333,5.800273,
0.740000,6.628883,
0.746667,8.286104,
0.753333,7.457494,
0.760000,8.286104,
0.766667,9.114715,
0.773333,5.800273,
0.780000,8.286104,
0.786667,9.943325,
0.793333,8.286104,
0.800000,9.943325,
0.806667,7.457494,
0.813333,8.286104,
0.820000,6.628883,
0.826667,7.457494,
0.833333,8.286104,
0.840000,7.457494,
0.846667,7.457494,
0.853333,5.800273,
0.860000,5.800273,
0.866667,6.628883,
0.873333,7.457494,
0.880000,6.628883,
0.886667,6.628883,
0.893333,6.628883,
0.900000,8.286104,
0.906667,6.628883,
0.913333,7.457494,
0.920000,6.628883,
0.926667,6.628883,
0.933333,6.628883,
0.940000,6.628883,
0.946667,7.457494,
0.953333,4.971663,
0.960000,5.800273,
0.966667,9.943325,
0.973333,6.628883,
0.980000,7.457494,
0.986667,9.114715,
0.993333,7.457494,
1.000000,9.114715,
1.006667,7.457494,
1.013333,9.114715,
1.020000,8.286104,
1.026667,9.114715,
1.033333,9.114715,
1.040000,7.457494,
1.046667,6.628883,
1.053333,5.800273,
1.060000,5.800273,
1.066667,5.800273,
1.073333,5.800273,
1.080000,7.457494,
1.086667,6.628883,
1.093333,8.286104,
1.100000,9.114715,
1.106667,8.286104,
1.113333,8.286104,
1.120000,9.114715,
1.126667,9.114715,
1.133333,9.114715,
1.140000,9.943325,
1.146667,10.771936,
1.153333,9.943325,
1.160000,9.943325,
1.166667,10.771936,
1.173333,9.114715,
1.180000,10.771936,
1.186667,9.943325,
1.193333,9.114715,
1.200000,9.943325,
1.206667,9.114715,
1.213333,9.943325,
1.220000,8.286104,
1.226667,7.457494,
1.233333,9.943325,
1.240000,8.286104,
1.246667,8.286104,
1.253333,8.286104,
1.260000,9.114715,
1.266667,8.286104,
1.273333,7.457494,
1.280000,6.628883,
1.286667,6.628883,
1.293333,7.457494,
1.300000,8.286104,
1.306667,5.800273,
1.313333,5.800273,
1.320000,6.628883,
1.326667,6.628883,
1.333333,7.457494,
1.340000,4.143052,
1.346667,4.971663,
1.353333,4.143052,
1.360000,3.314442,
1.366667,5.800273,
1.373333,3.314442,
1.380000,4.971663,
1.386667,4.143052,
1.393333,4.143052,
1.400000,6.628883,
1.406667,3.314442,
1.413333,4.143052,
1.420000,4.143052,
1.426667,4.971663,
1.433333,4.971663,
1.440000,2.485831,
1.446667,4.971663,
1.453333,4.971663,
1.460000,4.971663,
1.466667,6.628883,
1.473333,4.971663,
1.480000,4.143052,
1.486667,4.143052,
1.493333,4.143052,
1.500000,4.971663,
1.506667,4.971663,
1.513333,6.628883,
1.520000,6.628883,
1.526667,5.800273,
1.533333,5.800273,
1.540000,4.971663,
1.546667,5.800273,
1.553333,4.971663,
1.560000,4.971663,
1.566667,4.143052,
1.573333,3.314442,
1.580000,3.314442,
1.586667,2.485831,
1.593333,2.485831,
1.600000,1.657221,
1.606667,1.657221,
1.613333,1.657221,
1.620000,1.657221,
1.626667,2.485831,
1.633333,2.485831,
1.640000,2.485831,
1.646667,2.485831,
1.653333,2.485831,
1.660000,2.485831,
1.666667,2.485831,
1.673333,1.657221,
1.680000,2.485831,
1.686667,2.485831,
1.693333,3.314442,
1.700000,2.485831,
1.706667,2.485831,
1.713333,3.314442,
1.720000,3.314442,
1.726667,4.143052,
1.733333,3.314442,
1.740000,2.485831,
1.746667,3.314442,
1.753333,3.314442,
1.760000,3.314442,
1.766667,2.485831,
1.773333,2.485831,
1.780000,2.485831,
1.786667,3.314442,
1.793333,3.314442,
1.800000,1.657221,
1.806667,3.314442,
1.813333,4.143052,
1.820000,4.971663,
1.826667,4.143052,
1.833333,3.314442,
1.840000,4.143052,
1.846667,4.971663,
1.853333,4.143052,
1.860000,4.971663,
1.866667,4.971663,
1.873333,4.143052,
1.880000,4.971663,
1.886667,4.971663,
1.893333,5.800273,
1.900000,4.971663,
1.906667,4.971663,
1.913333,4.143052,
1.920000,3.314442,
1.926667,3.314442,
1.933333,4.143052,
1.940000,3.314442,
1.946667,4.971663,
1.953333,4.971663,
1.960000,4.971663,
1.966667,4.971663,
1.973333,6.628883,
1.980000,6.628883,
1.986667,6.628883,
1.993333,6.628883,
2.000000,7.457494,
2.006667,7.457494,
2.013333,8.286104,
2.020000,8.286104,
2.026667,8.286104,
2.033333,8.286104,
2.040000,9.943325,
2.046667,9.114715,
2.053333,8.286104,
2.060000,9.114715,
2.066667,9.943325,
