
Seconds, 126-1930
0.000000,14.772584,
0.006667,14.772584,
0.013333,14.772584,
0.020000,16.249843,
0.026667,16.249843,
0.033333,17.727101,
0.040000,17.727101,
0.046667,17.727101,
0.053333,17.727101,
0.060000,17.727101,
0.066667,19.204359,
0.073333,19.204359,
0.080000,19.204359,
0.086667,19.204359,
0.093333,19.204359,
0.100000,20.681618,
0.106667,20.681618,
0.113333,20.681618,
0.120000,20.681618,
0.126667,22.158876,
0.133333,23.636135,
0.140000,23.636135,
0.146667,25.113393,
0.153333,25.113393,
0.160000,23.636135,
0.166667,19.204359,
0.173333,22.158876,
0.180000,23.636135,
0.186667,19.204359,
0.193333,20.681618,
0.200000,25.113393,
0.206667,20.681618,
0.213333,29.545168,
0.220000,29.545168,
0.226667,29.545168,
0.233333,29.545168,
0.240000,35.454202,
0.246667,36.931460,
0.253333,32.499685,
0.260000,29.545168,
0.266667,33.976943,
0.273333,32.499685,
0.280000,31.022427,
0.286667,29.545168,
0.293333,26.590651,
0.300000,33.976943,
0.306667,39.885977,
0.313333,41.363235,
0.320000,35.454202,
0.326667,41.363235,
0.333333,38.408719,
0.340000,41.363235,
0.346667,41.363235,
0.353333,47.272269,
0.360000,47.272269,
0.366667,44.317752,
0.373333,48.749528,
0.380000,44.317752,
0.386667,47.272269,
0.393333,41.363235,
0.400000,47.272269,
0.406667,41.363235,
0.413333,47.272269,
0.420000,44.317752,
0.426667,48.749528,
0.433333,51.704044,
0.440000,50.226786,
0.446667,50.226786,
0.453333,50.226786,
0.460000,50.226786,
0.466667,50.226786,
0.473333,50.226786,
0.480000,50.226786,
0.486667,50.226786,
0.493333,51.704044,
0.500000,50.226786,
0.506667,51.704044,
0.513333,48.749528,
0.520000,50.226786,
0.526667,48.749528,
0.533333,48.749528,
0.540000,47.272269,
0.546667,50.226786,
0.553333,56.135820,
0.560000,54.658561,
0.566667,51.704044,
0.573333,56.135820,
0.580000,51.704044,
0.586667,56.135820,
0.593333,50.226786,
0.600000,51.704044,
0.606667,53.181303,
0.613333,51.704044,
0.620000,54.658561,
