
Seconds, L4
0.000000,1.657221,
0.006667,2.485831,
0.013333,0.000000,
0.020000,0.828610,
0.026667,3.314442,
0.033333,5.800273,
0.040000,7.457494,
0.046667,5.800273,
0.053333,9.114715,
0.060000,9.114715,
0.066667,10.771936,
0.073333,13.257767,
0.080000,10.771936,
0.086667,12.429156,
0.093333,12.429156,
0.100000,13.257767,
0.106667,14.086377,
0.113333,14.914988,
0.120000,18.229430,
0.126667,19.058040,
0.133333,19.058040,
0.140000,19.886650,
0.146667,19.886650,
0.153333,20.715261,
0.160000,20.715261,
0.166667,23.201092,
0.173333,23.201092,
0.180000,21.543871,
0.186667,22.372482,
0.193333,23.201092,
0.200000,23.201092,
0.206667,22.372482,
0.213333,22.372482,
0.220000,24.029703,
0.226667,24.858313,
0.233333,24.858313,
0.240000,24.029703,
0.246667,24.029703,
0.253333,24.858313,
0.260000,24.029703,
0.266667,24.029703,
0.273333,24.858313,
0.280000,23.201092,
0.286667,26.515534,
0.293333,25.686923,
0.300000,26.515534,
0.306667,27.344144,
0.313333,24.029703,
0.320000,26.515534,
0.326667,24.858313,
0.333333,25.686923,
0.340000,24.029703,
0.346667,23.201092,
0.353333,26.515534,
0.360000,25.686923,
0.366667,24.858313,
0.373333,24.029703,
0.380000,22.372482,
0.386667,23.201092,
0.393333,23.201092,
0.400000,24.029703,
0.406667,24.029703,
0.413333,24.029703,
0.420000,24.029703,
0.426667,23.201092,
0.433333,21.543871,
0.440000,22.372482,
0.446667,19.058040,
0.453333,20.715261,
0.460000,19.058040,
0.466667,19.058040,
0.473333,19.058040,
0.480000,16.572209,
0.486667,19.058040,
0.493333,17.400819,
0.500000,14.914988,
0.506667,14.914988,
0.513333,15.743598,
0.520000,16.572209,
0.526667,17.400819,
0.533333,14.914988,
0.540000,14.086377,
0.546667,14.086377,
0.553333,14.086377,
0.560000,14.086377,
0.566667,13.257767,
0.573333,12.429156,
0.580000,14.086377,
0.586667,14.086377,
0.593333,14.086377,
0.600000,14.914988,
0.606667,13.257767,
0.613333,14.086377,
0.620000,16.572209,
0.626667,16.572209,
0.633333,16.572209,
0.640000,15.743598,
0.646667,15.743598,
0.653333,16.572209,
0.660000,14.914988,
0.666667,14.914988,
0.673333,15.743598,
0.680000,14.086377,
0.686667,17.400819,
0.693333,14.914988,
0.700000,15.743598,
0.706667,14.914988,
0.713333,13.257767,
0.720000,15.743598,
0.726667,14.086377,
0.733333,14.086377,
0.740000,13.257767,
0.746667,9.114715,
0.753333,11.600546,
0.760000,13.257767,
0.766667,14.914988,
0.773333,17.400819,
0.780000,16.572209,
0.786667,17.400819,
0.793333,17.400819,
0.800000,18.229430,
0.806667,17.400819,
0.813333,16.572209,
0.820000,16.572209,
0.826667,14.914988,
0.833333,12.429156,
0.840000,14.086377,
0.846667,14.086377,
0.853333,15.743598,
0.860000,14.086377,
0.866667,15.743598,
0.873333,16.572209,
0.880000,14.914988,
0.886667,18.229430,
0.893333,15.743598,
0.900000,14.914988,
0.906667,15.743598,
0.913333,13.257767,
0.920000,15.743598,
0.926667,13.257767,
0.933333,14.086377,
0.940000,14.086377,
0.946667,14.086377,
0.953333,16.572209,
0.960000,14.914988,
0.966667,14.914988,
0.973333,15.743598,
0.980000,14.086377,
0.986667,16.572209,
0.993333,16.572209,
1.000000,17.400819,
1.006667,18.229430,
1.013333,18.229430,
1.020000,19.886650,
1.026667,18.229430,
1.033333,18.229430,
1.040000,18.229430,
1.046667,17.400819,
1.053333,24.029703,
1.060000,20.715261,
1.066667,21.543871,
1.073333,21.543871,
1.080000,19.886650,
1.086667,20.715261,
1.093333,19.886650,
1.100000,19.886650,
1.106667,20.715261,
1.113333,19.058040,
1.120000,21.543871,
1.126667,19.886650,
1.133333,18.229430,
1.140000,16.572209,
1.146667,14.914988,
1.153333,16.572209,
1.160000,15.743598,
1.166667,15.743598,
1.173333,14.914988,
1.180000,16.572209,
1.186667,17.400819,
1.193333,15.743598,
1.200000,16.572209,
1.206667,17.400819,
1.213333,16.572209,
1.220000,17.400819,
1.226667,16.572209,
1.233333,17.400819,
1.240000,18.229430,
1.246667,17.400819,
1.253333,19.058040,
1.260000,17.400819,
1.266667,19.058040,
1.273333,17.400819,
1.280000,16.572209,
1.286667,18.229430,
1.293333,17.400819,
1.300000,17.400819,
1.306667,19.058040,
1.313333,17.400819,
1.320000,20.715261,
1.326667,19.886650,
1.333333,20.715261,
1.340000,20.715261,
1.346667,18.229430,
1.353333,19.886650,
1.360000,19.886650,
1.366667,21.543871,
1.373333,21.543871,
1.380000,20.715261,
1.386667,24.858313,
1.393333,23.201092,
1.400000,24.029703,
1.406667,23.201092,
1.413333,21.543871,
1.420000,24.029703,
1.426667,24.029703,
1.433333,23.201092,
1.440000,24.029703,
1.446667,23.201092,
1.453333,24.029703,
1.460000,23.201092,
1.466667,23.201092,
1.473333,24.029703,
1.480000,19.058040,
1.486667,17.400819,
1.493333,19.058040,
1.500000,17.400819,
1.506667,19.058040,
1.513333,15.743598,
1.520000,16.572209,
1.526667,15.743598,
1.533333,16.572209,
1.540000,18.229430,
1.546667,18.229430,
1.553333,16.572209,
1.560000,16.572209,
1.566667,18.229430,
1.573333,17.400819,
1.580000,14.914988,
1.586667,13.257767,
1.593333,15.743598,
1.600000,16.572209,
1.606667,15.743598,
1.613333,17.400819,
1.620000,19.886650,
1.626667,19.886650,
1.633333,20.715261,
1.640000,19.886650,
1.646667,19.058040,
1.653333,22.372482,
1.660000,19.886650,
1.666667,19.886650,
1.673333,19.058040,
1.680000,19.886650,
1.686667,22.372482,
1.693333,20.715261,
1.700000,22.372482,
1.706667,22.372482,
1.713333,23.201092,
1.720000,24.858313,
1.726667,23.201092,
1.733333,23.201092,
1.740000,22.372482,
1.746667,22.372482,
1.753333,23.201092,
1.760000,20.715261,
1.766667,22.372482,
1.773333,21.543871,
1.780000,20.715261,
1.786667,21.543871,
1.793333,21.543871,
1.800000,21.543871,
1.806667,22.372482,
1.813333,23.201092,
1.820000,23.201092,
1.826667,22.372482,
1.833333,23.201092,
1.840000,21.543871,
1.846667,20.715261,
