
Seconds, L4
0.000000,5.800273,
0.006667,4.143052,
0.013333,8.286104,
0.020000,4.971663,
0.026667,6.628883,
0.033333,3.314442,
0.040000,5.800273,
0.046667,9.114715,
0.053333,7.457494,
0.060000,6.628883,
0.066667,10.771936,
0.073333,4.971663,
0.080000,8.286104,
0.086667,6.628883,
0.093333,8.286104,
0.100000,7.457494,
0.106667,6.628883,
0.113333,4.971663,
0.120000,5.800273,
0.126667,6.628883,
0.133333,7.457494,
0.140000,5.800273,
0.146667,8.286104,
0.153333,7.457494,
0.160000,9.114715,
0.166667,7.457494,
0.173333,9.943325,
0.180000,14.086377,
0.186667,6.628883,
0.193333,9.114715,
0.200000,6.628883,
0.206667,9.114715,
0.213333,12.429156,
0.220000,8.286104,
0.226667,10.771936,
0.233333,10.771936,
0.240000,9.114715,
0.246667,11.600546,
0.253333,9.114715,
0.260000,10.771936,
0.266667,11.600546,
0.273333,11.600546,
0.280000,14.914988,
0.286667,9.943325,
0.293333,11.600546,
0.300000,8.286104,
0.306667,8.286104,
0.313333,13.257767,
0.320000,11.600546,
0.326667,11.600546,
0.333333,7.457494,
0.340000,8.286104,
0.346667,6.628883,
0.353333,8.286104,
0.360000,11.600546,
0.366667,9.943325,
0.373333,12.429156,
0.380000,11.600546,
0.386667,11.600546,
0.393333,10.771936,
0.400000,11.600546,
0.406667,7.457494,
0.413333,9.114715,
0.420000,9.943325,
0.426667,11.600546,
0.433333,10.771936,
0.440000,8.286104,
0.446667,10.771936,
0.453333,4.143052,
0.460000,8.286104,
0.466667,5.800273,
0.473333,6.628883,
0.480000,10.771936,
0.486667,7.457494,
0.493333,9.943325,
0.500000,8.286104,
0.506667,7.457494,
0.513333,9.943325,
0.520000,2.485831,
0.526667,9.114715,
0.533333,6.628883,
0.540000,6.628883,
0.546667,6.628883,
0.553333,2.485831,
0.560000,6.628883,
0.566667,5.800273,
0.573333,6.628883,
0.580000,4.971663,
0.586667,3.314442,
0.593333,6.628883,
0.600000,4.143052,
0.606667,3.314442,
0.613333,5.800273,
0.620000,3.314442,
0.626667,3.314442,
0.633333,4.143052,
0.640000,4.143052,
0.646667,4.143052,
0.653333,0.828610,
0.660000,3.314442,
0.666667,4.143052,
0.673333,3.314442,
0.680000,4.971663,
0.686667,2.485831,
0.693333,6.628883,
0.700000,6.628883,
0.706667,6.628883,
0.713333,9.114715,
0.720000,4.971663,
0.726667,7.457494,
0.733333,7.457494,
0.740000,7.457494,
0.746667,9.114715,
0.753333,4.971663,
0.760000,7.457494,
0.766667,6.628883,
0.773333,7.457494,
0.780000,8.286104,
0.786667,4.971663,
0.793333,7.457494,
0.800000,6.628883,
0.806667,6.628883,
0.813333,9.943325,
0.820000,6.628883,
0.826667,8.286104,
0.833333,7.457494,
0.840000,8.286104,
0.846667,8.286104,
0.853333,8.286104,
0.860000,9.943325,
0.866667,7.457494,
0.873333,10.771936,
0.880000,9.943325,
0.886667,8.286104,
0.893333,9.114715,
0.900000,8.286104,
0.906667,9.943325,
0.913333,6.628883,
0.920000,8.286104,
0.926667,13.257767,
0.933333,13.257767,
0.940000,14.086377,
0.946667,14.914988,
0.953333,10.771936,
0.960000,14.086377,
0.966667,12.429156,
0.973333,10.771936,
0.980000,9.114715,
0.986667,8.286104,
0.993333,14.914988,
1.000000,13.257767,
1.006667,13.257767,
1.013333,13.257767,
1.020000,9.114715,
1.026667,14.914988,
1.033333,10.771936,
1.040000,13.257767,
1.046667,9.943325,
1.053333,14.086377,
1.060000,11.600546,
1.066667,12.429156,
1.073333,12.429156,
1.080000,13.257767,
1.086667,10.771936,
1.093333,12.429156,
1.100000,10.771936,
1.106667,11.600546,
1.113333,11.600546,
1.120000,12.429156,
1.126667,12.429156,
1.133333,10.771936,
1.140000,12.429156,
1.146667,14.914988,
1.153333,10.771936,
1.160000,14.086377,
1.166667,14.086377,
1.173333,13.257767,
1.180000,13.257767,
1.186667,11.600546,
1.193333,19.886650,
1.200000,14.914988,
1.206667,17.400819,
1.213333,14.914988,
1.220000,9.943325,
1.226667,18.229430,
1.233333,9.114715,
1.240000,13.257767,
1.246667,14.086377,
1.253333,11.600546,
1.260000,14.086377,
1.266667,9.943325,
1.273333,10.771936,
1.280000,10.771936,
1.286667,9.114715,
1.293333,12.429156,
1.300000,7.457494,
1.306667,11.600546,
1.313333,11.600546,
1.320000,9.114715,
1.326667,13.257767,
1.333333,10.771936,
1.340000,11.600546,
1.346667,11.600546,
1.353333,9.943325,
1.360000,14.914988,
1.366667,11.600546,
1.373333,14.086377,
1.380000,14.914988,
1.386667,9.943325,
1.393333,15.743598,
1.400000,12.429156,
1.406667,14.086377,
1.413333,14.914988,
1.420000,13.257767,
1.426667,17.400819,
1.433333,13.257767,
1.440000,14.086377,
1.446667,14.914988,
1.453333,14.914988,
1.460000,18.229430,
1.466667,14.914988,
1.473333,15.743598,
1.480000,13.257767,
1.486667,14.086377,
1.493333,19.058040,
1.500000,14.914988,
1.506667,16.572209,
1.513333,14.086377,
1.520000,13.257767,
1.526667,19.058040,
1.533333,13.257767,
1.540000,14.086377,
1.546667,13.257767,
1.553333,11.600546,
1.560000,16.572209,
1.566667,13.257767,
1.573333,13.257767,
1.580000,12.429156,
