
Seconds, L7
0.000000,5.850178,
0.006667,5.850178,
0.013333,5.850178,
0.020000,5.850178,
0.026667,7.150218,
0.033333,7.150218,
0.040000,6.500198,
0.046667,7.150218,
0.053333,7.800238,
0.060000,8.450258,
0.066667,9.750297,
0.073333,9.100277,
0.080000,10.400317,
0.086667,11.700357,
0.093333,12.350377,
0.100000,13.000396,
0.106667,13.650416,
0.113333,13.650416,
0.120000,13.000396,
0.126667,13.650416,
0.133333,13.000396,
0.140000,15.600476,
0.146667,14.950456,
0.153333,14.300436,
0.160000,14.300436,
0.166667,14.300436,
0.173333,14.950456,
0.180000,16.250495,
0.186667,18.200555,
0.193333,20.150614,
0.200000,20.150614,
0.206667,20.800634,
0.213333,20.800634,
0.220000,20.150614,
0.226667,22.100674,
0.233333,22.100674,
0.240000,22.100674,
0.246667,23.400713,
0.253333,23.400713,
0.260000,24.050733,
0.266667,24.050733,
0.273333,24.050733,
0.280000,23.400713,
0.286667,23.400713,
0.293333,22.100674,
0.300000,22.750694,
0.306667,22.100674,
0.313333,22.100674,
0.320000,21.450654,
0.326667,20.150614,
0.333333,21.450654,
0.340000,17.550535,
0.346667,19.500595,
0.353333,17.550535,
0.360000,20.150614,
0.366667,20.800634,
0.373333,20.150614,
0.380000,20.800634,
0.386667,18.850575,
0.393333,20.800634,
0.400000,19.500595,
0.406667,18.850575,
0.413333,16.900515,
0.420000,20.150614,
0.426667,20.150614,
0.433333,18.850575,
0.440000,17.550535,
0.446667,17.550535,
0.453333,14.950456,
0.460000,18.200555,
0.466667,16.900515,
0.473333,11.700357,
0.480000,13.650416,
0.486667,14.300436,
0.493333,14.300436,
0.500000,13.000396,
0.506667,15.600476,
0.513333,12.350377,
0.520000,16.250495,
0.526667,15.600476,
0.533333,16.250495,
0.540000,16.250495,
0.546667,14.950456,
0.553333,16.900515,
0.560000,16.900515,
0.566667,14.300436,
0.573333,16.900515,
0.580000,15.600476,
0.586667,16.250495,
0.593333,16.250495,
0.600000,16.250495,
0.606667,15.600476,
0.613333,15.600476,
0.620000,16.250495,
0.626667,16.250495,
0.633333,16.250495,
0.640000,15.600476,
0.646667,15.600476,
0.653333,15.600476,
0.660000,17.550535,
0.666667,16.250495,
0.673333,18.850575,
0.680000,17.550535,
0.686667,15.600476,
0.693333,17.550535,
