
Seconds, 126-1930
0.000000,7.386292,
0.006667,11.818067,
0.013333,16.249843,
0.020000,11.818067,
0.026667,8.863550,
0.033333,14.772584,
0.040000,14.772584,
0.046667,17.727101,
0.053333,14.772584,
0.060000,16.249843,
0.066667,20.681618,
0.073333,20.681618,
0.080000,16.249843,
0.086667,20.681618,
0.093333,19.204359,
0.100000,19.204359,
0.106667,17.727101,
0.113333,17.727101,
0.120000,20.681618,
0.126667,23.636135,
0.133333,22.158876,
0.140000,22.158876,
0.146667,17.727101,
0.153333,17.727101,
0.160000,14.772584,
0.166667,17.727101,
0.173333,13.295326,
0.180000,14.772584,
0.186667,16.249843,
0.193333,17.727101,
0.200000,14.772584,
0.206667,11.818067,
0.213333,17.727101,
0.220000,13.295326,
0.226667,17.727101,
0.233333,17.727101,
0.240000,19.204359,
0.246667,13.295326,
0.253333,14.772584,
0.260000,16.249843,
0.266667,14.772584,
0.273333,14.772584,
0.280000,11.818067,
0.286667,14.772584,
0.293333,17.727101,
0.300000,16.249843,
0.306667,14.772584,
0.313333,20.681618,
0.320000,19.204359,
0.326667,23.636135,
0.333333,22.158876,
0.340000,20.681618,
0.346667,20.681618,
0.353333,19.204359,
0.360000,20.681618,
0.366667,23.636135,
0.373333,20.681618,
0.380000,20.681618,
0.386667,20.681618,
0.393333,22.158876,
0.400000,22.158876,
0.406667,25.113393,
0.413333,23.636135,
0.420000,23.636135,
0.426667,22.158876,
0.433333,20.681618,
0.440000,22.158876,
0.446667,22.158876,
0.453333,25.113393,
0.460000,25.113393,
0.466667,26.590651,
0.473333,25.113393,
0.480000,23.636135,
0.486667,22.158876,
0.493333,19.204359,
0.500000,19.204359,
0.506667,23.636135,
0.513333,19.204359,
0.520000,26.590651,
0.526667,23.636135,
0.533333,20.681618,
0.540000,19.204359,
0.546667,19.204359,
0.553333,16.249843,
0.560000,23.636135,
0.566667,22.158876,
0.573333,23.636135,
0.580000,17.727101,
0.586667,20.681618,
0.593333,25.113393,
0.600000,23.636135,
0.606667,17.727101,
0.613333,20.681618,
0.620000,25.113393,
0.626667,23.636135,
0.633333,22.158876,
0.640000,23.636135,
0.646667,19.204359,
0.653333,26.590651,
0.660000,22.158876,
0.666667,20.681618,
0.673333,20.681618,
0.680000,17.727101,
0.686667,25.113393,
0.693333,20.681618,
0.700000,19.204359,
0.706667,20.681618,
0.713333,19.204359,
0.720000,20.681618,
0.726667,20.681618,
0.733333,20.681618,
0.740000,20.681618,
0.746667,19.204359,
0.753333,19.204359,
0.760000,20.681618,
0.766667,17.727101,
0.773333,14.772584,
0.780000,16.249843,
0.786667,17.727101,
0.793333,17.727101,
0.800000,20.681618,
0.806667,17.727101,
0.813333,17.727101,
0.820000,16.249843,
0.826667,23.636135,
0.833333,19.204359,
0.840000,20.681618,
0.846667,19.204359,
0.853333,22.158876,
0.860000,16.249843,
0.866667,14.772584,
0.873333,20.681618,
0.880000,17.727101,
0.886667,13.295326,
0.893333,17.727101,
0.900000,19.204359,
0.906667,14.772584,
0.913333,16.249843,
0.920000,19.204359,
0.926667,19.204359,
0.933333,19.204359,
0.940000,14.772584,
0.946667,14.772584,
0.953333,17.727101,
0.960000,22.158876,
0.966667,14.772584,
0.973333,16.249843,
0.980000,17.727101,
0.986667,7.386292,
0.993333,16.249843,
1.000000,14.772584,
1.006667,13.295326,
1.013333,14.772584,
1.020000,17.727101,
1.026667,19.204359,
1.033333,23.636135,
1.040000,14.772584,
1.046667,13.295326,
1.053333,16.249843,
1.060000,16.249843,
1.066667,17.727101,
1.073333,11.818067,
1.080000,11.818067,
1.086667,13.295326,
1.093333,14.772584,
1.100000,14.772584,
1.106667,17.727101,
1.113333,13.295326,
1.120000,11.818067,
1.126667,13.295326,
1.133333,11.818067,
1.140000,10.340809,
1.146667,8.863550,
1.153333,8.863550,
1.160000,8.863550,
1.166667,8.863550,
1.173333,11.818067,
1.180000,11.818067,
1.186667,11.818067,
1.193333,14.772584,
1.200000,16.249843,
1.206667,14.772584,
1.213333,13.295326,
1.220000,13.295326,
1.226667,14.772584,
1.233333,14.772584,
1.240000,11.818067,
1.246667,11.818067,
1.253333,11.818067,
1.260000,10.340809,
1.266667,8.863550,
1.273333,11.818067,
1.280000,8.863550,
1.286667,7.386292,
1.293333,11.818067,
1.300000,8.863550,
1.306667,8.863550,
1.313333,5.909034,
1.320000,8.863550,
1.326667,7.386292,
1.333333,7.386292,
1.340000,4.431775,
1.346667,4.431775,
1.353333,2.954517,
1.360000,5.909034,
1.366667,4.431775,
1.373333,2.954517,
1.380000,0.000000,
1.386667,2.954517,
1.393333,1.477258,
1.400000,0.000000,
1.406667,0.000000,
1.413333,0.000000,
1.420000,1.477258,
1.426667,5.909034,
1.433333,5.909034,
1.440000,5.909034,
1.446667,0.000000,
1.453333,0.000000,
1.460000,2.954517,
1.466667,0.000000,
1.473333,0.000000,
1.480000,0.000000,
1.486667,0.000000,
1.493333,0.000000,
1.500000,0.000000,
1.506667,0.000000,
1.513333,0.000000,
1.520000,0.000000,
1.526667,0.000000,
1.533333,0.000000,
1.540000,0.000000,
1.546667,0.000000,
1.553333,0.000000,
1.560000,0.000000,
1.566667,0.000000,
1.573333,0.000000,
1.580000,0.000000,
1.586667,0.000000,
1.593333,0.000000,
1.600000,0.000000,
1.606667,0.000000,
1.613333,0.000000,
1.620000,0.000000,
1.626667,0.000000,
1.633333,0.000000,
1.640000,0.000000,
1.646667,0.000000,
1.653333,0.000000,
1.660000,0.000000,
1.666667,0.000000,
1.673333,0.000000,
1.680000,0.000000,
1.686667,0.000000,
1.693333,0.000000,
1.700000,0.000000,
1.706667,0.000000,
1.713333,0.000000,
1.720000,0.000000,
1.726667,0.000000,
1.733333,0.000000,
1.740000,0.000000,
1.746667,0.000000,
1.753333,0.000000,
1.760000,0.000000,
1.766667,0.000000,
1.773333,0.000000,
1.780000,0.000000,
1.786667,0.000000,
1.793333,0.000000,
1.800000,0.000000,
1.806667,0.000000,
1.813333,0.000000,
1.820000,0.000000,
1.826667,0.000000,
1.833333,0.000000,
1.840000,0.000000,
1.846667,0.000000,
1.853333,0.000000,
1.860000,0.000000,
1.866667,0.000000,
1.873333,0.000000,
1.880000,0.000000,
1.886667,0.000000,
1.893333,0.000000,
1.900000,0.000000,
1.906667,0.000000,
1.913333,0.000000,
1.920000,0.000000,
1.926667,0.000000,
1.933333,0.000000,
1.940000,0.000000,
1.946667,0.000000,
1.953333,0.000000,
1.960000,0.000000,
1.966667,0.000000,
1.973333,0.000000,
1.980000,0.000000,
1.986667,0.000000,
1.993333,0.000000,
2.000000,0.000000,
2.006667,0.000000,
2.013333,0.000000,
2.020000,0.000000,
2.026667,0.000000,
2.033333,0.000000,
2.040000,0.000000,
2.046667,0.000000,
2.053333,0.000000,
2.060000,0.000000,
2.066667,0.000000,
2.073333,0.000000,
2.080000,0.000000,
2.086667,0.000000,
2.093333,0.000000,
2.100000,0.000000,
2.106667,0.000000,
2.113333,0.000000,
2.120000,0.000000,
2.126667,0.000000,
2.133333,0.000000,
2.140000,0.000000,
2.146667,0.000000,
2.153333,0.000000,
2.160000,0.000000,
2.166667,0.000000,
2.173333,0.000000,
2.180000,0.000000,
2.186667,0.000000,
2.193333,0.000000,
2.200000,0.000000,
2.206667,0.000000,
2.213333,0.000000,
2.220000,0.000000,
2.226667,0.000000,
2.233333,0.000000,
2.240000,0.000000,
2.246667,0.000000,
2.253333,0.000000,
2.260000,0.000000,
2.266667,0.000000,
2.273333,0.000000,
2.280000,0.000000,
2.286667,0.000000,
2.293333,0.000000,
2.300000,0.000000,
2.306667,0.000000,
2.313333,0.000000,
2.320000,0.000000,
2.326667,0.000000,
2.333333,0.000000,
2.340000,0.000000,
2.346667,0.000000,
2.353333,0.000000,
2.360000,0.000000,
2.366667,0.000000,
2.373333,0.000000,
2.380000,0.000000,
2.386667,0.000000,
2.393333,0.000000,
2.400000,0.000000,
2.406667,0.000000,
2.413333,0.000000,
2.420000,0.000000,
2.426667,0.000000,
2.433333,0.000000,
2.440000,0.000000,
2.446667,0.000000,
2.453333,0.000000,
2.460000,0.000000,
2.466667,0.000000,
2.473333,0.000000,
2.480000,0.000000,
2.486667,0.000000,
2.493333,0.000000,
2.500000,0.000000,
2.506667,0.000000,
2.513333,0.000000,
2.520000,0.000000,
2.526667,0.000000,
2.533333,0.000000,
2.540000,0.000000,
2.546667,0.000000,
2.553333,0.000000,
2.560000,0.000000,
2.566667,0.000000,
2.573333,0.000000,
2.580000,0.000000,
2.586667,0.000000,
2.593333,0.000000,
2.600000,0.000000,
2.606667,0.000000,
2.613333,0.000000,
2.620000,0.000000,
2.626667,0.000000,
2.633333,0.000000,
2.640000,0.000000,
2.646667,0.000000,
2.653333,0.000000,
2.660000,0.000000,
2.666667,0.000000,
2.673333,0.000000,
2.680000,0.000000,
2.686667,0.000000,
2.693333,0.000000,
2.700000,0.000000,
2.706667,0.000000,
2.713333,0.000000,
2.720000,0.000000,
2.726667,0.000000,
2.733333,0.000000,
2.740000,0.000000,
2.746667,0.000000,
2.753333,0.000000,
2.760000,0.000000,
2.766667,0.000000,
2.773333,0.000000,
2.780000,0.000000,
2.786667,0.000000,
2.793333,0.000000,
2.800000,0.000000,
2.806667,0.000000,
2.813333,0.000000,
2.820000,0.000000,
2.826667,0.000000,
2.833333,0.000000,
2.840000,0.000000,
2.846667,0.000000,
2.853333,0.000000,
2.860000,0.000000,
2.866667,0.000000,
2.873333,0.000000,
2.880000,0.000000,
2.886667,0.000000,
2.893333,0.000000,
2.900000,0.000000,
2.906667,0.000000,
2.913333,0.000000,
2.920000,0.000000,
2.926667,0.000000,
2.933333,0.000000,
2.940000,0.000000,
2.946667,0.000000,
