
Seconds, L3
0.000000,3.973520,
0.006667,1.986760,
0.013333,0.993380,
0.020000,3.973520,
0.026667,0.993380,
0.033333,3.973520,
0.040000,4.966900,
0.046667,2.980140,
0.053333,4.966900,
0.060000,3.973520,
0.066667,7.947040,
0.073333,2.980140,
0.080000,4.966900,
0.086667,8.940420,
0.093333,4.966900,
0.100000,6.953660,
0.106667,6.953660,
0.113333,5.960280,
0.120000,4.966900,
0.126667,3.973520,
0.133333,5.960280,
0.140000,5.960280,
0.146667,3.973520,
0.153333,7.947040,
0.160000,2.980140,
0.166667,6.953660,
0.173333,5.960280,
0.180000,6.953660,
0.186667,8.940420,
0.193333,3.973520,
0.200000,9.933800,
0.206667,7.947040,
0.213333,7.947040,
0.220000,8.940420,
0.226667,1.986760,
0.233333,6.953660,
0.240000,5.960280,
0.246667,5.960280,
0.253333,9.933800,
0.260000,5.960280,
0.266667,3.973520,
0.273333,3.973520,
0.280000,7.947040,
0.286667,7.947040,
0.293333,3.973520,
0.300000,5.960280,
0.306667,6.953660,
0.313333,7.947040,
0.320000,6.953660,
0.326667,3.973520,
0.333333,7.947040,
0.340000,5.960280,
0.346667,3.973520,
0.353333,5.960280,
0.360000,4.966900,
0.366667,2.980140,
0.373333,3.973520,
0.380000,1.986760,
0.386667,5.960280,
0.393333,4.966900,
0.400000,5.960280,
0.406667,7.947040,
0.413333,5.960280,
0.420000,8.940420,
0.426667,4.966900,
0.433333,5.960280,
0.440000,3.973520,
0.446667,7.947040,
0.453333,8.940420,
0.460000,4.966900,
0.466667,5.960280,
0.473333,1.986760,
0.480000,5.960280,
0.486667,5.960280,
0.493333,5.960280,
0.500000,6.953660,
0.506667,5.960280,
0.513333,7.947040,
0.520000,7.947040,
0.526667,3.973520,
0.533333,7.947040,
0.540000,8.940420,
0.546667,9.933800,
0.553333,4.966900,
0.560000,3.973520,
0.566667,9.933800,
0.573333,7.947040,
0.580000,1.986760,
0.586667,6.953660,
0.593333,2.980140,
0.600000,5.960280,
0.606667,8.940420,
0.613333,5.960280,
0.620000,10.927180,
0.626667,0.993380,
0.633333,7.947040,
0.640000,5.960280,
0.646667,5.960280,
0.653333,11.920560,
0.660000,1.986760,
0.666667,6.953660,
0.673333,7.947040,
0.680000,4.966900,
0.686667,9.933800,
0.693333,2.980140,
0.700000,7.947040,
0.706667,3.973520,
0.713333,5.960280,
0.720000,8.940420,
0.726667,1.986760,
0.733333,4.966900,
0.740000,3.973520,
0.746667,1.986760,
0.753333,7.947040,
0.760000,0.993380,
0.766667,5.960280,
0.773333,2.980140,
0.780000,5.960280,
0.786667,3.973520,
0.793333,3.973520,
0.800000,6.953660,
0.806667,4.966900,
0.813333,8.940420,
0.820000,5.960280,
0.826667,4.966900,
0.833333,5.960280,
0.840000,5.960280,
0.846667,6.953660,
0.853333,7.947040,
0.860000,3.973520,
0.866667,7.947040,
0.873333,7.947040,
0.880000,7.947040,
0.886667,9.933800,
0.893333,3.973520,
0.900000,9.933800,
0.906667,7.947040,
0.913333,10.927180,
0.920000,7.947040,
0.926667,5.960280,
0.933333,6.953660,
0.940000,7.947040,
0.946667,7.947040,
0.953333,7.947040,
0.960000,1.986760,
0.966667,5.960280,
0.973333,7.947040,
0.980000,8.940420,
0.986667,8.940420,
0.993333,7.947040,
1.000000,8.940420,
1.006667,7.947040,
1.013333,10.927180,
1.020000,4.966900,
1.026667,7.947040,
1.033333,8.940420,
1.040000,8.940420,
1.046667,8.940420,
1.053333,10.927180,
1.060000,5.960280,
1.066667,8.940420,
1.073333,8.940420,
1.080000,8.940420,
1.086667,7.947040,
1.093333,4.966900,
1.100000,8.940420,
1.106667,3.973520,
1.113333,7.947040,
1.120000,7.947040,
1.126667,1.986760,
1.133333,4.966900,
1.140000,6.953660,
1.146667,8.940420,
1.153333,5.960280,
1.160000,3.973520,
1.166667,8.940420,
1.173333,6.953660,
1.180000,6.953660,
1.186667,7.947040,
1.193333,4.966900,
1.200000,7.947040,
1.206667,4.966900,
1.213333,7.947040,
1.220000,8.940420,
1.226667,3.973520,
1.233333,7.947040,
1.240000,5.960280,
1.246667,6.953660,
1.253333,7.947040,
1.260000,4.966900,
1.266667,4.966900,
1.273333,5.960280,
1.280000,7.947040,
1.286667,7.947040,
1.293333,4.966900,
1.300000,4.966900,
1.306667,6.953660,
1.313333,4.966900,
1.320000,5.960280,
1.326667,0.993380,
1.333333,5.960280,
1.340000,3.973520,
1.346667,4.966900,
1.353333,7.947040,
1.360000,0.000000,
1.366667,7.947040,
1.373333,8.940420,
1.380000,3.973520,
1.386667,7.947040,
1.393333,6.953660,
1.400000,3.973520,
1.406667,7.947040,
1.413333,8.940420,
1.420000,7.947040,
1.426667,4.966900,
1.433333,8.940420,
1.440000,8.940420,
1.446667,3.973520,
1.453333,12.913940,
1.460000,4.966900,
1.466667,4.966900,
1.473333,4.966900,
1.480000,6.953660,
1.486667,3.973520,
1.493333,0.000000,
1.500000,9.933800,
1.506667,6.953660,
1.513333,4.966900,
1.520000,8.940420,
1.526667,2.980140,
1.533333,12.913940,
1.540000,2.980140,
1.546667,1.986760,
1.553333,8.940420,
1.560000,1.986760,
1.566667,9.933800,
1.573333,5.960280,
1.580000,4.966900,
1.586667,5.960280,
1.593333,3.973520,
1.600000,4.966900,
1.606667,1.986760,
1.613333,4.966900,
1.620000,5.960280,
1.626667,1.986760,
1.633333,7.947040,
1.640000,7.947040,
1.646667,3.973520,
1.653333,6.953660,
1.660000,0.993380,
1.666667,6.953660,
1.673333,3.973520,
1.680000,3.973520,
1.686667,4.966900,
1.693333,3.973520,
1.700000,10.927180,
1.706667,3.973520,
1.713333,4.966900,
1.720000,9.933800,
1.726667,1.986760,
1.733333,12.913940,
1.740000,5.960280,
1.746667,5.960280,
1.753333,8.940420,
1.760000,1.986760,
1.766667,10.927180,
1.773333,3.973520,
