
Seconds, 126-1930
0.000000,7.386292,
0.006667,7.386292,
0.013333,8.863550,
0.020000,13.295326,
0.026667,11.818067,
0.033333,11.818067,
0.040000,14.772584,
0.046667,16.249843,
0.053333,16.249843,
0.060000,17.727101,
0.066667,19.204359,
0.073333,20.681618,
0.080000,23.636135,
0.086667,23.636135,
0.093333,25.113393,
0.100000,28.067910,
0.106667,28.067910,
0.113333,29.545168,
0.120000,31.022427,
0.126667,31.022427,
0.133333,32.499685,
0.140000,32.499685,
0.146667,36.931460,
0.153333,35.454202,
0.160000,38.408719,
0.166667,41.363235,
0.173333,41.363235,
0.180000,42.840494,
0.186667,42.840494,
0.193333,44.317752,
0.200000,41.363235,
0.206667,41.363235,
0.213333,44.317752,
0.220000,44.317752,
0.226667,44.317752,
0.233333,45.795011,
0.240000,41.363235,
0.246667,44.317752,
0.253333,44.317752,
0.260000,45.795011,
0.266667,41.363235,
0.273333,41.363235,
0.280000,45.795011,
0.286667,44.317752,
0.293333,45.795011,
0.300000,45.795011,
0.306667,45.795011,
0.313333,48.749528,
0.320000,53.181303,
0.326667,56.135820,
0.333333,51.704044,
0.340000,50.226786,
0.346667,50.226786,
0.353333,50.226786,
0.360000,50.226786,
0.366667,48.749528,
0.373333,48.749528,
0.380000,50.226786,
0.386667,48.749528,
0.393333,48.749528,
0.400000,50.226786,
0.406667,50.226786,
0.413333,51.704044,
0.420000,53.181303,
0.426667,50.226786,
0.433333,48.749528,
0.440000,47.272269,
0.446667,47.272269,
0.453333,48.749528,
0.460000,48.749528,
0.466667,50.226786,
0.473333,45.795011,
0.480000,47.272269,
0.486667,44.317752,
0.493333,44.317752,
0.500000,41.363235,
0.506667,42.840494,
0.513333,39.885977,
0.520000,41.363235,
0.526667,42.840494,
0.533333,41.363235,
0.540000,39.885977,
0.546667,41.363235,
0.553333,41.363235,
0.560000,41.363235,
0.566667,36.931460,
0.573333,36.931460,
0.580000,33.976943,
0.586667,32.499685,
0.593333,31.022427,
0.600000,29.545168,
0.606667,29.545168,
0.613333,29.545168,
0.620000,26.590651,
0.626667,28.067910,
0.633333,26.590651,
0.640000,29.545168,
0.646667,23.636135,
0.653333,25.113393,
0.660000,25.113393,
0.666667,23.636135,
0.673333,26.590651,
0.680000,20.681618,
0.686667,26.590651,
0.693333,25.113393,
0.700000,19.204359,
0.706667,20.681618,
0.713333,25.113393,
0.720000,25.113393,
0.726667,23.636135,
0.733333,22.158876,
0.740000,22.158876,
0.746667,20.681618,
0.753333,14.772584,
0.760000,14.772584,
0.766667,13.295326,
0.773333,14.772584,
0.780000,10.340809,
0.786667,11.818067,
0.793333,13.295326,
0.800000,17.727101,
0.806667,11.818067,
0.813333,7.386292,
0.820000,13.295326,
0.826667,10.340809,
0.833333,10.340809,
0.840000,11.818067,
0.846667,13.295326,
0.853333,13.295326,
0.860000,17.727101,
0.866667,17.727101,
0.873333,17.727101,
0.880000,16.249843,
0.886667,16.249843,
0.893333,16.249843,
0.900000,13.295326,
0.906667,10.340809,
0.913333,7.386292,
0.920000,11.818067,
0.926667,11.818067,
0.933333,16.249843,
0.940000,17.727101,
0.946667,11.818067,
0.953333,8.863550,
0.960000,10.340809,
0.966667,13.295326,
0.973333,11.818067,
0.980000,16.249843,
0.986667,10.340809,
0.993333,10.340809,
1.000000,13.295326,
1.006667,11.818067,
1.013333,13.295326,
1.020000,13.295326,
1.026667,11.818067,
1.033333,17.727101,
1.040000,16.249843,
1.046667,13.295326,
1.053333,11.818067,
1.060000,11.818067,
1.066667,10.340809,
1.073333,11.818067,
1.080000,11.818067,
1.086667,10.340809,
1.093333,8.863550,
1.100000,5.909034,
1.106667,5.909034,
1.113333,5.909034,
1.120000,5.909034,
1.126667,4.431775,
1.133333,5.909034,
1.140000,5.909034,
1.146667,5.909034,
1.153333,2.954517,
1.160000,7.386292,
1.166667,5.909034,
1.173333,5.909034,
1.180000,1.477258,
1.186667,2.954517,
1.193333,2.954517,
1.200000,2.954517,
1.206667,1.477258,
1.213333,2.954517,
1.220000,1.477258,
1.226667,1.477258,
1.233333,1.477258,
1.240000,1.477258,
1.246667,1.477258,
1.253333,1.477258,
1.260000,1.477258,
1.266667,0.000000,
1.273333,0.000000,
1.280000,1.477258,
1.286667,1.477258,
1.293333,0.000000,
1.300000,1.477258,
1.306667,0.000000,
1.313333,1.477258,
1.320000,1.477258,
1.326667,1.477258,
1.333333,0.000000,
1.340000,1.477258,
1.346667,0.000000,
1.353333,1.477258,
1.360000,1.477258,
1.366667,0.000000,
1.373333,1.477258,
1.380000,1.477258,
1.386667,0.000000,
1.393333,1.477258,
1.400000,2.954517,
1.406667,1.477258,
1.413333,1.477258,
1.420000,1.477258,
1.426667,1.477258,
1.433333,1.477258,
1.440000,1.477258,
1.446667,1.477258,
1.453333,1.477258,
1.460000,1.477258,
1.466667,1.477258,
1.473333,1.477258,
1.480000,1.477258,
1.486667,1.477258,
1.493333,1.477258,
1.500000,1.477258,
1.506667,1.477258,
1.513333,0.000000,
1.520000,0.000000,
1.526667,1.477258,
1.533333,1.477258,
1.540000,0.000000,
1.546667,1.477258,
1.553333,1.477258,
1.560000,1.477258,
1.566667,2.954517,
1.573333,1.477258,
1.580000,1.477258,
1.586667,2.954517,
1.593333,2.954517,
1.600000,2.954517,
1.606667,2.954517,
1.613333,2.954517,
1.620000,2.954517,
1.626667,2.954517,
1.633333,1.477258,
1.640000,5.909034,
1.646667,2.954517,
1.653333,1.477258,
1.660000,5.909034,
1.666667,2.954517,
1.673333,2.954517,
1.680000,5.909034,
1.686667,4.431775,
1.693333,5.909034,
1.700000,7.386292,
1.706667,5.909034,
1.713333,4.431775,
1.720000,4.431775,
1.726667,2.954517,
1.733333,2.954517,
1.740000,2.954517,
1.746667,5.909034,
1.753333,4.431775,
1.760000,5.909034,
1.766667,7.386292,
1.773333,5.909034,
1.780000,7.386292,
1.786667,5.909034,
1.793333,7.386292,
1.800000,5.909034,
1.806667,7.386292,
1.813333,10.340809,
1.820000,7.386292,
1.826667,7.386292,
1.833333,7.386292,
1.840000,5.909034,
1.846667,5.909034,
1.853333,5.909034,
1.860000,5.909034,
1.866667,8.863550,
1.873333,4.431775,
1.880000,5.909034,
1.886667,1.477258,
1.893333,5.909034,
1.900000,5.909034,
1.906667,5.909034,
1.913333,1.477258,
1.920000,0.000000,
1.926667,1.477258,
1.933333,2.954517,
1.940000,2.954517,
1.946667,8.863550,
1.953333,7.386292,
1.960000,5.909034,
1.966667,2.954517,
1.973333,2.954517,
1.980000,4.431775,
1.986667,4.431775,
1.993333,4.431775,
2.000000,10.340809,
2.006667,7.386292,
2.013333,5.909034,
2.020000,5.909034,
2.026667,10.340809,
2.033333,10.340809,
2.040000,5.909034,
2.046667,13.295326,
2.053333,11.818067,
2.060000,5.909034,
2.066667,5.909034,
2.073333,13.295326,
2.080000,5.909034,
2.086667,5.909034,
2.093333,5.909034,
2.100000,10.340809,
2.106667,7.386292,
2.113333,2.954517,
2.120000,5.909034,
2.126667,8.863550,
2.133333,2.954517,
2.140000,8.863550,
2.146667,5.909034,
2.153333,4.431775,
2.160000,4.431775,
2.166667,5.909034,
2.173333,5.909034,
2.180000,4.431775,
2.186667,5.909034,
2.193333,4.431775,
2.200000,8.863550,
2.206667,8.863550,
2.213333,5.909034,
2.220000,2.954517,
2.226667,7.386292,
2.233333,2.954517,
2.240000,7.386292,
2.246667,4.431775,
2.253333,4.431775,
2.260000,5.909034,
2.266667,5.909034,
2.273333,4.431775,
2.280000,5.909034,
2.286667,1.477258,
2.293333,1.477258,
2.300000,5.909034,
2.306667,5.909034,
2.313333,2.954517,
2.320000,2.954517,
2.326667,2.954517,
2.333333,4.431775,
2.340000,2.954517,
2.346667,2.954517,
2.353333,1.477258,
2.360000,2.954517,
2.366667,1.477258,
2.373333,1.477258,
2.380000,2.954517,
2.386667,1.477258,
2.393333,2.954517,
2.400000,1.477258,
2.406667,2.954517,
2.413333,2.954517,
2.420000,2.954517,
2.426667,2.954517,
2.433333,4.431775,
2.440000,5.909034,
2.446667,1.477258,
2.453333,2.954517,
2.460000,2.954517,
2.466667,10.340809,
2.473333,7.386292,
2.480000,4.431775,
2.486667,7.386292,
2.493333,7.386292,
2.500000,7.386292,
2.506667,13.295326,
2.513333,14.772584,
2.520000,10.340809,
2.526667,8.863550,
2.533333,11.818067,
2.540000,13.295326,
2.546667,10.340809,
2.553333,10.340809,
2.560000,5.909034,
2.566667,7.386292,
2.573333,4.431775,
2.580000,5.909034,
2.586667,2.954517,
2.593333,5.909034,
2.600000,1.477258,
2.606667,5.909034,
2.613333,0.000000,
2.620000,1.477258,
2.626667,4.431775,
2.633333,0.000000,
2.640000,5.909034,
2.646667,0.000000,
2.653333,0.000000,
2.660000,0.000000,
2.666667,0.000000,
2.673333,0.000000,
2.680000,1.477258,
2.686667,2.954517,
2.693333,0.000000,
2.700000,0.000000,
2.706667,0.000000,
2.713333,4.431775,
2.720000,0.000000,
2.726667,0.000000,
2.733333,2.954517,
2.740000,0.000000,
2.746667,0.000000,
2.753333,0.000000,
2.760000,0.000000,
2.766667,0.000000,
2.773333,0.000000,
2.780000,0.000000,
2.786667,0.000000,
2.793333,0.000000,
