
Seconds, L3
0.000000,3.973520,
0.006667,15.894080,
0.013333,0.000000,
0.020000,3.973520,
0.026667,5.960280,
0.033333,3.973520,
0.040000,3.973520,
0.046667,5.960280,
0.053333,2.980140,
0.060000,3.973520,
0.066667,3.973520,
0.073333,4.966900,
0.080000,4.966900,
0.086667,2.980140,
0.093333,4.966900,
0.100000,3.973520,
0.106667,4.966900,
0.113333,5.960280,
0.120000,4.966900,
0.126667,5.960280,
0.133333,3.973520,
0.140000,3.973520,
0.146667,4.966900,
0.153333,3.973520,
0.160000,4.966900,
0.166667,3.973520,
0.173333,5.960280,
0.180000,3.973520,
0.186667,2.980140,
0.193333,4.966900,
0.200000,4.966900,
0.206667,4.966900,
0.213333,4.966900,
0.220000,3.973520,
0.226667,4.966900,
0.233333,4.966900,
0.240000,4.966900,
0.246667,3.973520,
0.253333,3.973520,
0.260000,4.966900,
0.266667,3.973520,
0.273333,3.973520,
0.280000,3.973520,
0.286667,3.973520,
0.293333,4.966900,
0.300000,3.973520,
0.306667,3.973520,
0.313333,3.973520,
0.320000,3.973520,
0.326667,3.973520,
0.333333,3.973520,
0.340000,4.966900,
0.346667,3.973520,
0.353333,3.973520,
0.360000,2.980140,
0.366667,3.973520,
0.373333,3.973520,
0.380000,4.966900,
0.386667,2.980140,
0.393333,3.973520,
0.400000,3.973520,
0.406667,3.973520,
0.413333,4.966900,
0.420000,3.973520,
0.426667,4.966900,
0.433333,3.973520,
0.440000,4.966900,
0.446667,3.973520,
0.453333,1.986760,
0.460000,4.966900,
0.466667,3.973520,
0.473333,4.966900,
0.480000,3.973520,
0.486667,3.973520,
0.493333,3.973520,
0.500000,4.966900,
0.506667,4.966900,
0.513333,4.966900,
0.520000,3.973520,
0.526667,4.966900,
0.533333,4.966900,
0.540000,4.966900,
0.546667,4.966900,
0.553333,4.966900,
0.560000,4.966900,
0.566667,4.966900,
0.573333,4.966900,
0.580000,4.966900,
0.586667,3.973520,
0.593333,4.966900,
0.600000,4.966900,
0.606667,4.966900,
0.613333,3.973520,
0.620000,3.973520,
0.626667,4.966900,
0.633333,4.966900,
0.640000,3.973520,
0.646667,2.980140,
0.653333,2.980140,
0.660000,4.966900,
0.666667,3.973520,
0.673333,3.973520,
0.680000,3.973520,
0.686667,2.980140,
0.693333,3.973520,
0.700000,4.966900,
0.706667,3.973520,
0.713333,3.973520,
0.720000,3.973520,
0.726667,4.966900,
0.733333,2.980140,
0.740000,3.973520,
0.746667,3.973520,
0.753333,3.973520,
0.760000,3.973520,
0.766667,3.973520,
0.773333,3.973520,
0.780000,3.973520,
0.786667,2.980140,
0.793333,3.973520,
0.800000,2.980140,
0.806667,4.966900,
0.813333,4.966900,
0.820000,4.966900,
0.826667,6.953660,
0.833333,5.960280,
0.840000,7.947040,
0.846667,7.947040,
0.853333,6.953660,
0.860000,7.947040,
0.866667,8.940420,
0.873333,9.933800,
0.880000,10.927180,
0.886667,9.933800,
0.893333,10.927180,
0.900000,12.913940,
0.906667,13.907320,
0.913333,16.887460,
0.920000,16.887460,
0.926667,17.880840,
0.933333,17.880840,
0.940000,22.847740,
0.946667,23.841120,
0.953333,24.834500,
0.960000,26.821260,
0.966667,27.814640,
0.973333,27.814640,
0.980000,28.808020,
0.986667,28.808020,
0.993333,29.801400,
1.000000,30.794780,
1.006667,31.788160,
1.013333,32.781540,
1.020000,31.788160,
1.026667,33.774920,
1.033333,32.781540,
1.040000,33.774920,
1.046667,34.768300,
1.053333,33.774920,
1.060000,34.768300,
1.066667,34.768300,
1.073333,34.768300,
1.080000,35.761680,
1.086667,33.774920,
1.093333,36.755060,
1.100000,37.748440,
1.106667,35.761680,
1.113333,35.761680,
1.120000,34.768300,
